method,target,target_type,regressor,cv_seed,r2,rmse
masked_nmf,Fat,macro,rf,1,0.6534293054812904,7.8132512105576755
masked_nmf,Fat,macro,rf,2,0.6663056428417677,7.7822856043553
masked_nmf,Fat,macro,rf,3,0.694965396732268,7.507383870818812
masked_nmf,Fat,macro,rf,4,0.6977547054975897,7.494237004725214
masked_nmf,Fat,macro,ridge,0,0.49249140995156804,9.526100858070643
masked_nmf,Fat,macro,ridge,1,0.49041940763712716,9.687436133550229
masked_nmf,Fat,macro,ridge,2,0.476257428868898,9.778912448468498
masked_nmf,Fat,macro,ridge,3,0.495557933132787,9.702834569943269
masked_nmf,Fat,macro,ridge,4,0.49624100298801965,9.685261084798778
masked_nmf,Fat,macro,knr,0,0.5509514123804966,8.598112255600922
masked_nmf,Fat,macro,knr,1,0.5791248024034539,8.520051444157854
masked_nmf,Fat,macro,knr,2,0.6019748405797865,8.450998462334896
masked_nmf,Fat,macro,knr,3,0.6390855526007584,8.130431227816175
masked_nmf,Fat,macro,knr,4,0.6360824652572103,8.214705420951262
masked_nmf,Carbohydrate,macro,rf,0,0.990990977614881,2.3606632513402435
masked_nmf,Carbohydrate,macro,rf,1,0.9901157633125525,2.4191036508531325
masked_nmf,Carbohydrate,macro,rf,2,0.9904501069677887,2.4165961007402563
masked_nmf,Carbohydrate,macro,rf,3,0.9912649037525896,2.3059773682395375
masked_nmf,Carbohydrate,macro,rf,4,0.9902248855557456,2.3984141986602023
